site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CVMS 00JUL22 2000.5558 51747 1071 6  -89.6  -3945 -0.547966   3934661  0.200402    72  0.945078  0.0000 0.001092 0.001383 0.005209 -0.003272 -0.056629 -0.121462  35.5414214618  -89.6435094208    72.94508
CVMS 00JUL23 2000.5585 51748 1072 0  -89.6  -3945 -0.550224   3934661  0.199348    72  0.930985  0.0000 0.001114 0.001378 0.005268  0.001283  0.078004 -0.028319  35.5414214522  -89.6435094461    72.93099
CVMS 00JUL24 2000.5613 51749 1072 1  -89.6  -3945 -0.551154   3934661  0.200269    72  0.953174  0.0000 0.001063 0.001371 0.005051  0.014293  0.082861  0.065677  35.5414214605  -89.6435094568    72.95317
CVMS 00JUL25 2000.5640 51750 1072 2  -89.6  -3945 -0.553886   3934661  0.205779    72  0.954492  0.0000 0.001096 0.001337 0.005070 -0.029487  0.122566 -0.040399  35.5414215101  -89.6435094874    72.95449
CVMS 00JUL26 2000.5667 51751 1072 3  -89.6  -3945 -0.549518   3934661  0.201728    72  0.960070  0.0000 0.001079 0.001318 0.005070 -0.051154  0.097966 -0.117888  35.5414214736  -89.6435094396    72.96007
CVMS 00JUL27 2000.5695 51752 1072 4  -89.6  -3945 -0.549644   3934661  0.196260    72  0.940749  0.0000 0.001169 0.001379 0.005307 -0.071337  0.067278 -0.060677  35.5414214243  -89.6435094414    72.94075
CVMS 00JUL28 2000.5722 51753 1072 5  -89.6  -3945 -0.551037   3934661  0.198897    72  0.947210  0.0000 0.001189 0.001411 0.005378 -0.025575 -0.077868  0.042301  35.5414214480  -89.6435094572    72.94721
CVMS 00JUL29 2000.5749 51754 1072 6  -89.6  -3945 -0.549576   3934661  0.196860    72  0.948823  0.0000 0.001235 0.001485 0.005790 -0.014798  0.035794  0.015657  35.5414214296  -89.6435094415    72.94882
CVMS 00JUL30 2000.5777 51755 1073 0  -89.6  -3945 -0.546066   3934661  0.195714    72  0.938663  0.0000 0.001136 0.001450 0.005405  0.004318  0.046914  0.038985  35.5414214193  -89.6435094032    72.93866
CVMS 00JUL31 2000.5804 51756 1073 1  -89.6  -3945 -0.547680   3934661  0.199033    72  0.944083  0.0000 0.001121 0.001395 0.005311 -0.031207  0.170284 -0.045339  35.5414214491  -89.6435094214    72.94408
CVMS 00AUG01 2000.5832 51757 1073 2  -89.6  -3945 -0.550749   3934661  0.193969    72  0.945770  0.0000 0.001208 0.001461 0.005568 -0.081301  0.032777  0.000129  35.5414214035  -89.6435094557    72.94577
CVMS 00AUG02 2000.5859 51758 1073 3  -89.6  -3945 -0.549694   3934661  0.197939    72  0.945738  0.0000 0.001109 0.001372 0.005109 -0.080305 -0.046220  0.015638  35.5414214392  -89.6435094445    72.94574
CVMS 00AUG03 2000.5886 51759 1073 4  -89.6  -3945 -0.550861   3934661  0.198033    72  0.947435  0.0000 0.001149 0.001417 0.005268 -0.113850 -0.041791  0.066942  35.5414214400  -89.6435094578    72.94743
CVMS 00AUG04 2000.5914 51760 1073 5  -89.6  -3945 -0.550915   3934661  0.195409    72  0.946038  0.0000 0.001273 0.001630 0.006334  0.009692  0.131373  0.132099  35.5414214163  -89.6435094588    72.94604
CVMS 00AUG05 2000.5941 51761 1073 6  -89.6  -3945 -0.546559   3934661  0.195382    72  0.949557  0.0000 0.001185 0.001422 0.005360 -0.168829  0.136522 -0.013118  35.5414214161  -89.6435094111    72.94956
CVMS 00AUG06 2000.5969 51762 1074 0  -89.6  -3945 -0.549311   3934661  0.197570    72  0.945812  0.0000 0.001174 0.001453 0.005557 -0.113256  0.095972 -0.021510  35.5414214357  -89.6435094419    72.94581
CVMS 00AUG07 2000.5996 51763 1074 1  -89.6  -3945 -0.546439   3934661  0.195903    72  0.952472  0.0000 0.001085 0.001362 0.005068 -0.062785  0.065089 -0.034224  35.5414214207  -89.6435094107    72.95247
CVMS 00AUG08 2000.6023 51764 1074 2  -89.6  -3945 -0.551248   3934661  0.195783    72  0.941519  0.0000 0.001102 0.001406 0.005294 -0.066159  0.092231 -0.012132  35.5414214196  -89.6435094641    72.94152
CVMS 00AUG09 2000.6051 51765 1074 3  -89.6  -3945 -0.549641   3934661  0.198006    72  0.936543  0.0000 0.001257 0.001552 0.005953 -0.081635  0.104435 -0.045360  35.5414214396  -89.6435094468    72.93654
CVMS 00AUG18 2000.6297 51774 1075 5  -89.6  -3945 -0.549053   3934661  0.195563    72  0.943108  0.0000 0.001228 0.001427 0.005551 -0.110940  0.073449 -0.021015  35.5414214172  -89.6435094441    72.94311
CVMS 00AUG19 2000.6324 51775 1075 6  -89.6  -3945 -0.545450   3934661  0.193924    72  0.945155  0.0000 0.001130 0.001374 0.005288 -0.145267  0.241234 -0.103428  35.5414214024  -89.6435094047    72.94515
CVMS 00AUG20 2000.6352 51776 1076 0  -89.6  -3945 -0.549288   3934661  0.194204    72  0.936994  0.0000 0.001147 0.001370 0.005344 -0.074254  0.126037 -0.006061  35.5414214049  -89.6435094475    72.93699
CVMS 00AUG21 2000.6379 51777 1076 1  -89.6  -3945 -0.547381   3934661  0.192107    72  0.941136  0.0000 0.001175 0.001377 0.005451 -0.093866  0.193248 -0.021774  35.5414213860  -89.6435094269    72.94114
CVMS 00AUG22 2000.6407 51778 1076 2  -89.6  -3945 -0.547381   3934661  0.194577    72  0.939947  0.0000 0.001173 0.001449 0.005533  0.006167  0.003469  0.018696  35.5414214082  -89.6435094273    72.93995
CVMS 00AUG23 2000.6434 51779 1076 3  -89.6  -3945 -0.548766   3934661  0.193650    72  0.950936  0.0000 0.001134 0.001385 0.005377 -0.076088  0.041756 -0.116923  35.5414213998  -89.6435094430    72.95094
CVMS 00AUG24 2000.6461 51780 1076 4  -89.6  -3945 -0.551729   3934661  0.198672    72  0.954386  0.0000 0.001347 0.001486 0.005725  0.050878  0.011884  0.036897  35.5414214451  -89.6435094761    72.95439
CVMS 00AUG25 2000.6489 51781 1076 5  -89.6  -3945 -0.557888   3934661  0.196615    72  0.956621  0.0000 0.001273 0.001475 0.005707  0.027727  0.059507 -0.084691  35.5414214265  -89.6435095444    72.95662
CVMS 00AUG26 2000.6516 51782 1076 6  -89.6  -3945 -0.547702   3934661  0.193806    72  0.948024  0.0000 0.001142 0.001466 0.005303 -0.053396  0.078508  0.074781  35.5414214011  -89.6435094325    72.94802
CVMS 00AUG27 2000.6543 51783 1077 0  -89.6  -3945 -0.550368   3934661  0.193509    72  0.952813  0.0000 0.001198 0.001364 0.005498 -0.079352  0.056501 -0.022573  35.5414213984  -89.6435094623    72.95281
CVMS 00AUG28 2000.6571 51784 1077 1  -89.6  -3945 -0.548568   3934661  0.192405    72  0.951249  0.0000 0.001228 0.001549 0.005865 -0.019321 -0.093944 -0.044849  35.5414213884  -89.6435094429    72.95125
CVMS 00AUG29 2000.6598 51785 1077 2  -89.6  -3945 -0.548283   3934661  0.191307    72  0.946322  0.0000 0.001211 0.001429 0.005604 -0.094083  0.078216  0.025278  35.5414213785  -89.6435094401    72.94632
CVMS 00AUG30 2000.6626 51786 1077 3  -89.6  -3945 -0.548336   3934661  0.193523    72  0.948991  0.0000 0.001132 0.001363 0.005184 -0.025931  0.082345  0.030147  35.5414213985  -89.6435094411    72.94899
CVMS 00AUG31 2000.6653 51787 1077 4  -89.6  -3945 -0.549486   3934661  0.191209    72  0.944327  0.0000 0.001170 0.001453 0.005622 -0.052566  0.084170 -0.059924  35.5414213776  -89.6435094542    72.94433
CVMS 00SEP01 2000.6680 51788 1077 5  -89.6  -3945 -0.546830   3934661  0.195951    72  0.946709  0.0000 0.001250 0.001469 0.005936 -0.024598 -0.015870 -0.110487  35.5414214203  -89.6435094254    72.94671
CVMS 00SEP02 2000.6708 51789 1077 6  -89.6  -3945 -0.551520   3934661  0.194286    72  0.950394  0.0000 0.001162 0.001426 0.005578 -0.034180 -0.000815 -0.046035  35.5414214052  -89.6435094775    72.95039
CVMS 00SEP03 2000.6735 51790 1078 0  -89.6  -3945 -0.554411   3934661  0.190968    72  0.950963  0.0000 0.001336 0.001550 0.006447 -0.074761  0.180754  0.081338  35.5414213753  -89.6435095098    72.95096
CVMS 00SEP04 2000.6762 51791 1078 1  -89.6  -3945 -0.548461   3934661  0.190495    72  0.952531  0.0000 0.001173 0.001498 0.005611 -0.045327 -0.001170  0.015217  35.5414213710  -89.6435094446    72.95253
CVMS 00SEP05 2000.6790 51792 1078 2  -89.6  -3945 -0.552747   3934661  0.194684    72  0.953284  0.0000 0.001096 0.001400 0.005188  0.001722  0.109992  0.059298  35.5414214087  -89.6435094923    72.95328
CVMS 00SEP06 2000.6817 51793 1078 3  -89.6  -3945 -0.548732   3934661  0.194098    72  0.946347  0.0000 0.001138 0.001435 0.005447 -0.005520  0.054447  0.009643  35.5414214034  -89.6435094484    72.94635
CVMS 00SEP07 2000.6845 51794 1078 4  -89.6  -3945 -0.547440   3934661  0.194791    72  0.940254  0.0000 0.001107 0.001398 0.005304 -0.059699  0.061669  0.014884  35.5414214096  -89.6435094346    72.94025
CVMS 00SEP08 2000.6872 51795 1078 5  -89.6  -3945 -0.548432   3934661  0.193535    72  0.950360  0.0000 0.001122 0.001430 0.005293 -0.060890  0.053353  0.032245  35.5414213983  -89.6435094460    72.95036
CVMS 00SEP09 2000.6899 51796 1078 6  -89.6  -3945 -0.549319   3934661  0.192067    72  0.943348  0.0000 0.001275 0.001655 0.005979 -0.129195 -0.000824  0.075022  35.5414213850  -89.6435094561    72.94335
CVMS 00SEP10 2000.6927 51797 1079 0  -89.6  -3945 -0.552402   3934661  0.189260    72  0.962308  0.0000 0.001310 0.001506 0.006152 -0.047978 -0.039160  0.038970  35.5414213597  -89.6435094906    72.96231
CVMS 00SEP11 2000.6954 51798 1079 1  -89.6  -3945 -0.548436   3934661  0.192869    72  0.954831  0.0000 0.001172 0.001447 0.005539 -0.017661 -0.009244 -0.097074  35.5414213922  -89.6435094473    72.95483
CVMS 00SEP12 2000.6982 51799 1079 2  -89.6  -3945 -0.552276   3934661  0.190453    72  0.950019  0.0000 0.001223 0.001479 0.005831 -0.049581  0.033844 -0.020828  35.5414213703  -89.6435094900    72.95002
CVMS 00SEP13 2000.7009 51800 1079 3  -89.6  -3945 -0.549398   3934661  0.191376    72  0.946675  0.0000 0.001236 0.001537 0.005869 -0.103272  0.143119 -0.070039  35.5414213786  -89.6435094587    72.94668
CVMS 00SEP14 2000.7036 51801 1079 4  -89.6  -3945 -0.554063   3934661  0.187449    72  0.950145  0.0000 0.001205 0.001512 0.005657 -0.083053  0.050943 -0.065240  35.5414213432  -89.6435095105    72.95014
CVMS 00SEP15 2000.7064 51802 1079 5  -89.6  -3945 -0.550332   3934661  0.192785    72  0.949152  0.0000 0.001150 0.001388 0.005441 -0.027957  0.111958 -0.105592  35.5414213913  -89.6435094698    72.94915
CVMS 00SEP19 2000.7173 51806 1080 2  -89.6  -3945 -0.551052   3934661  0.189378    72  0.955135  0.0000 0.001115 0.001347 0.005207 -0.043282  0.044582 -0.079700  35.5414213604  -89.6435094794    72.95513
CVMS 00SEP20 2000.7201 51807 1080 3  -89.6  -3945 -0.552211   3934661  0.192435    72  0.956085  0.0000 0.001149 0.001479 0.005490 -0.066835  0.009114 -0.071349  35.5414213879  -89.6435094926    72.95608
CVMS 00SEP21 2000.7228 51808 1080 4  -89.6  -3945 -0.549858   3934661  0.191618    72  0.960419  0.0000 0.001179 0.001443 0.005476 -0.097453  0.042917 -0.050493  35.5414213805  -89.6435094671    72.96042
CVMS 00SEP22 2000.7255 51809 1080 5  -89.6  -3945 -0.551865   3934661  0.190408    72  0.959654  0.0000 0.001135 0.001391 0.005293 -0.115815  0.024191 -0.095386  35.5414213696  -89.6435094896    72.95965
CVMS 00SEP23 2000.7283 51810 1080 6  -89.6  -3945 -0.549194   3934661  0.190678    72  0.956753  0.0000 0.001195 0.001477 0.005714 -0.026543 -0.005617 -0.155100  35.5414213720  -89.6435094606    72.95675
CVMS 00SEP26 2000.7365 51813 1081 2  -89.6  -3945 -0.558924   3934661  0.195368    72  0.949733  0.0000 0.001091 0.001331 0.004952 -0.107679 -0.017885 -0.054643  35.5414214142  -89.6435095692    72.94973
CVMS 00SEP27 2000.7392 51814 1081 3  -89.6  -3945 -0.565673   3934661  0.202194    72  0.963714  0.0000 0.001373 0.001645 0.006052 -0.171911  0.139037  0.042833  35.5414214757  -89.6435096441    72.96371
CVMS 00SEP28 2000.7420 51815 1081 4  -89.6  -3945 -0.552189   3934661  0.190844    72  0.934699  0.0000 0.001230 0.001432 0.005606 -0.168440  0.096934 -0.029707  35.5414213733  -89.6435094957    72.93470
CVMS 00SEP29 2000.7447 51816 1081 5  -89.6  -3945 -0.549438   3934661  0.188467    72  0.946156  0.0000 0.001205 0.001368 0.005415 -0.063607  0.090988 -0.148138  35.5414213519  -89.6435094658    72.94616
CVMS 00OCT02 2000.7529 51819 1082 1  -89.6  -3945 -0.549350   3934661  0.188431    72  0.954861  0.0000 0.001242 0.001438 0.005784  0.005127  0.024860 -0.096215  35.5414213514  -89.6435094661    72.95486
CVMS 00OCT03 2000.7556 51820 1082 2  -89.6  -3945 -0.547823   3934661  0.188906    72  0.949418  0.0000 0.001196 0.001398 0.005480 -0.026606 -0.058979 -0.084060  35.5414213557  -89.6435094497    72.94942
CVMS 00OCT04 2000.7584 51821 1082 3  -89.6  -3945 -0.549711   3934661  0.190330    72  0.942052  0.0000 0.001242 0.001561 0.006051  0.006832  0.079752 -0.015572  35.5414213685  -89.6435094709    72.94205
CVMS 00OCT05 2000.7611 51822 1082 4  -89.6  -3945 -0.549225   3934661  0.185652    72  0.950186  0.0000 0.001342 0.001576 0.006243 -0.043005  0.058230 -0.026137  35.5414213263  -89.6435094659    72.95019
CVMS 00OCT06 2000.7639 51823 1082 5  -89.6  -3945 -0.548852   3934661  0.191412    72  0.951779  0.0000 0.001165 0.001410 0.005402 -0.071145  0.015272 -0.013087  35.5414213782  -89.6435094623    72.95178
CVMS 00OCT07 2000.7666 51824 1082 6  -89.6  -3945 -0.540331   3934661  0.193110    72  0.940293  0.0000 0.001038 0.001240 0.004706 -0.053896  0.061755 -0.198660  35.5414213934  -89.6435093687    72.94029
CVMS 00OCT08 2000.7693 51825 1083 0  -89.6  -3945 -0.557040   3934661  0.199172    72  0.946956  0.0000 0.000995 0.001156 0.004232 -0.034252  0.035472 -0.164841  35.5414214480  -89.6435095534    72.94696
