# offset 58717
53591.0	2005.604110	-0.032317	-0.032317
53592.0	2005.606849	-2.485822	-2.486479
53593.0	2005.609589	-2.712458	-2.713772
53705.0	2005.916438	-1.953223	-2.028109
53706.0	2005.919178	-1.642014	-1.717557
53707.0	2005.921918	-1.095958	-1.172158
53708.0	2005.924658	-1.317678	-1.394534
53709.0	2005.927397	-1.574014	-1.651527
53710.0	2005.930137	-1.578600	-1.656770
53711.0	2005.932877	-1.850949	-1.929776
53712.0	2005.935616	-2.355581	-2.435065
53713.0	2005.938356	-1.175390	-1.255531
53714.0	2005.941096	-0.749359	-0.830157
53715.0	2005.943836	-2.561711	-2.643166
53736.0	2006.001370	-2.899374	-2.994624
53737.0	2006.004110	-4.637856	-4.733762
53738.0	2006.006849	-2.418186	-2.514749
53744.0	2006.023288	-1.448217	-1.548722
53745.0	2006.026027	-2.015943	-2.117105
53746.0	2006.028767	-2.230825	-2.332643
53747.0	2006.031507	-3.946815	-4.049290
53748.0	2006.034247	-4.670571	-4.773703
53749.0	2006.036986	-2.637359	-2.741148
53750.0	2006.039726	-1.636395	-1.740841
53751.0	2006.042466	-2.236122	-2.341225
53752.0	2006.045205	-2.551626	-2.657386
53753.0	2006.047945	-2.245631	-2.352048
53754.0	2006.050685	-4.323309	-4.430383
53755.0	2006.053425	-4.590119	-4.697849
53756.0	2006.056164	-1.502913	-1.611300
53757.0	2006.058904	-1.262450	-1.371494
53758.0	2006.061644	-1.700418	-1.810119
53759.0	2006.064384	-1.520707	-1.631065
53760.0	2006.067123	-1.345801	-1.456816
53761.0	2006.069863	-0.895056	-1.006728
53762.0	2006.072603	-1.783956	-1.896285
53763.0	2006.075342	-3.538776	-3.651762
53764.0	2006.078082	-3.887050	-4.000693
53765.0	2006.080822	-1.565610	-1.679909
53766.0	2006.083562	-2.130406	-2.245362
53767.0	2006.086301	0.578002	0.462389
53768.0	2006.089041	-2.081600	-2.197870
53769.0	2006.091781	-2.107852	-2.224779
53770.0	2006.094521	-2.300644	-2.418228
53771.0	2006.097260	-1.271352	-1.389593
53772.0	2006.100000	-1.423454	-1.542352
53773.0	2006.102740	-0.911012	-1.030567
53774.0	2006.105479	-1.056670	-1.176881
53775.0	2006.108219	-0.834668	-0.955536
53776.0	2006.110959	-1.252521	-1.374046
53777.0	2006.113699	1.881411	1.759229
53778.0	2006.116438	-0.162984	-0.285823
53779.0	2006.119178	-1.363789	-1.487285
53780.0	2006.121918	-0.698846	-0.822999
53781.0	2006.124658	-1.206867	-1.331677
53783.0	2006.130137	-1.318950	-1.445073
53784.0	2006.132877	0.089485	-0.037295
53785.0	2006.135616	-1.044804	-1.172241
53786.0	2006.138356	0.057183	-0.070911
53787.0	2006.141096	-0.539764	-0.668515
53788.0	2006.143836	-0.936385	-1.065793
53789.0	2006.146575	-0.635787	-0.765852
53790.0	2006.149315	-1.592764	-1.723486
53791.0	2006.152055	-0.886011	-1.017390
53792.0	2006.154795	-0.767552	-0.899588
53793.0	2006.157534	-0.635437	-0.768129
53794.0	2006.160274	0.007689	-0.125660
53795.0	2006.163014	2.245042	2.111036
53796.0	2006.165753	-1.013758	-1.148421
53797.0	2006.168493	-0.220646	-0.355966
53798.0	2006.171233	-1.502702	-1.638679
53799.0	2006.173973	-1.310355	-1.446989
53800.0	2006.176712	-0.947929	-1.085220
53801.0	2006.179452	-0.990463	-1.128411
53802.0	2006.182192	-4.131778	-4.270382
53803.0	2006.184932	-3.352672	-3.491933
53804.0	2006.187671	-1.797346	-1.937264
53807.0	2006.195890	-2.563902	-2.705791
53808.0	2006.198630	-0.683429	-0.825975
53809.0	2006.201370	-1.032799	-1.176002
53810.0	2006.204110	-0.156797	-0.300657
53813.0	2006.212329	-1.345748	-1.491578
53814.0	2006.215068	-2.220993	-2.367480
53815.0	2006.217808	-1.467150	-1.614294
53816.0	2006.220548	-0.281628	-0.429429
53817.0	2006.223288	-0.671434	-0.819892
53818.0	2006.226027	0.175381	0.026266
53819.0	2006.228767	-0.117307	-0.267079
53820.0	2006.231507	-0.995468	-1.145897
53821.0	2006.234247	-0.487989	-0.639074
53822.0	2006.236986	0.412653	0.260911
53823.0	2006.239726	-1.274119	-1.426518
53824.0	2006.242466	-3.173249	-3.326305
53825.0	2006.245205	-0.310501	-0.464214
53826.0	2006.247945	-0.400536	-0.554906
53827.0	2006.250685	-5.502757	-5.657784
53828.0	2006.253425	-0.312383	-0.468067
53829.0	2006.256164	-0.177747	-0.334088
53830.0	2006.258904	-0.516207	-0.673204
53831.0	2006.261644	-0.015431	-0.173085
53832.0	2006.264384	-3.000480	-3.158791
53833.0	2006.267123	-2.067155	-2.226123
53834.0	2006.269863	-0.390825	-0.550450
53835.0	2006.272603	-0.882852	-1.043134
53836.0	2006.275342	-0.067663	-0.228602
53837.0	2006.278082	0.333356	0.171760
53838.0	2006.280822	-0.163329	-0.325582
53839.0	2006.283562	-0.203950	-0.366860
53840.0	2006.286301	-1.249184	-1.412750
53841.0	2006.289041	-4.698653	-4.862876
53842.0	2006.291781	-2.555520	-2.720400
53843.0	2006.294521	-4.015878	-4.181415
53844.0	2006.297260	-0.558369	-0.724563
53845.0	2006.300000	-2.543612	-2.710463
53846.0	2006.302740	-2.123202	-2.290710
53847.0	2006.305479	-1.866422	-2.034587
53848.0	2006.308219	-0.924986	-1.093808
53849.0	2006.310959	-1.151172	-1.320650
53850.0	2006.313699	-3.658620	-3.828755
53851.0	2006.316438	-1.926302	-2.097094
53852.0	2006.319178	-2.177991	-2.349440
53853.0	2006.321918	-2.140691	-2.312797
53854.0	2006.324658	-3.254395	-3.427158
53855.0	2006.327397	-2.502614	-2.676034
53856.0	2006.330137	-1.609159	-1.783236
53857.0	2006.332877	-2.971418	-3.146152
53865.0	2006.354795	-2.381905	-2.561894
53902.0	2006.456164	-4.112763	-4.317057
