site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
TN45 08JAN08 2008.0192 54473 1461 2  -89.7   3672  0.960218   3907795  0.657046    62  0.870852  0.0000 0.000818 0.000875 0.003324  0.057396  0.058678 -0.191545  35.2992766483  -89.6596188403    62.87085
TN45 08JAN09 2008.0219 54474 1461 3  -89.7   3672  0.958755   3907795  0.655092    62  0.871326  0.0000 0.000788 0.000900 0.003277  0.009783  0.055184 -0.152101  35.2992766307  -89.6596188568    62.87133
TN45 08JAN10 2008.0246 54475 1461 4  -89.7   3672  0.961127   3907795  0.655522    62  0.883108  0.0000 0.000799 0.000888 0.003349  0.011763  0.100332 -0.154921  35.2992766345  -89.6596188311    62.88311
TN45 08JAN12 2008.0301 54477 1461 6  -89.7   3672  0.960133   3907795  0.657644    62  0.872940  0.0000 0.000765 0.000834 0.003125 -0.001757  0.111382 -0.160405  35.2992766536  -89.6596188429    62.87294
TN45 08JAN13 2008.0329 54478 1462 0  -89.7   3672  0.959403   3907795  0.657528    62  0.868578  0.0000 0.000740 0.000850 0.003057  0.018379 -0.019952 -0.182484  35.2992766525  -89.6596188513    62.86858
TN45 08JAN14 2008.0356 54479 1462 1  -89.7   3672  0.958002   3907795  0.656937    62  0.869071  0.0000 0.000763 0.000837 0.003128  0.002251  0.085894 -0.206667  35.2992766471  -89.6596188671    62.86907
TN45 08JAN16 2008.0411 54481 1462 3  -89.7   3672  0.959476   3907795  0.655937    62  0.869540  0.0000 0.000793 0.000865 0.003229 -0.014851  0.070790 -0.171874  35.2992766380  -89.6596188518    62.86954
TN45 08JAN17 2008.0438 54482 1462 4  -89.7   3672  0.959442   3907795  0.655581    62  0.876975  0.0000 0.000761 0.000865 0.003186  0.016438 -0.003818 -0.155029  35.2992766348  -89.6596188525    62.87697
TN45 08JAN18 2008.0465 54483 1462 5  -89.7   3672  0.959229   3907795  0.657038    62  0.875607  0.0000 0.000766 0.000867 0.003221 -0.027368  0.077580 -0.194289  35.2992766479  -89.6596188553    62.87561
TN45 08JAN19 2008.0493 54484 1462 6  -89.7   3672  0.958672   3907795  0.657444    62  0.872564  0.0000 0.000753 0.000845 0.003120  0.037705 -0.001307 -0.156163  35.2992766515  -89.6596188618    62.87256
TN45 08JAN20 2008.0520 54485 1463 0  -89.7   3672  0.958816   3907795  0.657523    62  0.864730  0.0000 0.000758 0.000847 0.003158  0.001850  0.020630 -0.180464  35.2992766522  -89.6596188607    62.86473
TN45 08JAN21 2008.0548 54486 1463 1  -89.7   3672  0.959885   3907795  0.656494    62  0.860963  0.0000 0.000750 0.000831 0.003086  0.013846  0.043419 -0.192817  35.2992766429  -89.6596188493    62.86096
TN45 08JAN22 2008.0575 54487 1463 2  -89.7   3672  0.960239   3907795  0.655823    62  0.865190  0.0000 0.000764 0.000855 0.003212 -0.024929  0.043998 -0.166204  35.2992766368  -89.6596188459    62.86519
TN45 08JAN23 2008.0602 54488 1463 3  -89.7   3672  0.959031   3907795  0.656562    62  0.870448  0.0000 0.000759 0.000856 0.003134  0.024590  0.000824 -0.163663  35.2992766434  -89.6596188595    62.87045
TN45 08JAN24 2008.0630 54489 1463 4  -89.7   3672  0.959501   3907795  0.657469    62  0.869439  0.0000 0.000747 0.000849 0.003111  0.015145 -0.024086 -0.197843  35.2992766516  -89.6596188548    62.86944
TN45 08JAN26 2008.0684 54491 1463 6  -89.7   3672  0.960018   3907795  0.657356    62  0.865681  0.0000 0.000751 0.000833 0.003076  0.013344  0.014105 -0.192265  35.2992766505  -89.6596188499    62.86568
TN45 08JAN27 2008.0712 54492 1464 0  -89.7   3672  0.959753   3907795  0.655603    62  0.868437  0.0000 0.000758 0.000848 0.003139 -0.009777  0.058334 -0.193986  35.2992766347  -89.6596188533    62.86844
TN45 08JAN28 2008.0739 54493 1464 1  -89.7   3672  0.960054   3907795  0.654931    62  0.874569  0.0000 0.000770 0.000860 0.003216  0.024990  0.007906 -0.197368  35.2992766286  -89.6596188504    62.87457
TN45 08JAN29 2008.0767 54494 1464 2  -89.7   3672  0.961209   3907795  0.657133    62  0.883695  0.0000 0.000826 0.000936 0.003570  0.064482 -0.006991 -0.191709  35.2992766484  -89.6596188381    62.88370
TN45 08JAN30 2008.0794 54495 1464 3  -89.7   3672  0.960085   3907795  0.656254    62  0.864472  0.0000 0.001113 0.001496 0.005230 -0.009296  0.004482 -0.312078  35.2992766404  -89.6596188509    62.86447
TN45 08JAN31 2008.0821 54496 1464 4  -89.7   3672  0.960957   3907795  0.656257    62  0.873050  0.0000 0.000743 0.000869 0.003108  0.021336 -0.030363 -0.178154  35.2992766404  -89.6596188417    62.87305
TN45 08FEB01 2008.0849 54497 1464 5  -89.7   3672  0.961258   3907795  0.655859    62  0.868823  0.0000 0.000761 0.000837 0.003151  0.036642  0.010233 -0.219719  35.2992766368  -89.6596188388    62.86882
TN45 08FEB02 2008.0876 54498 1464 6  -89.7   3672  0.961345   3907795  0.656261    62  0.868502  0.0000 0.000756 0.000859 0.003167  0.013249  0.001217 -0.155590  35.2992766404  -89.6596188382    62.86850
TN45 08FEB03 2008.0903 54499 1465 0  -89.7   3672  0.959538   3907795  0.656760    62  0.871660  0.0000 0.000771 0.000850 0.003143 -0.011329  0.058601 -0.198764  35.2992766449  -89.6596188585    62.87166
TN45 08FEB04 2008.0931 54500 1465 1  -89.7   3672  0.961130   3907795  0.654517    62  0.876602  0.0000 0.000775 0.000885 0.003328  0.033051 -0.056456 -0.194306  35.2992766246  -89.6596188414    62.87660
TN45 08FEB05 2008.0958 54501 1465 2  -89.7   3672  0.958885   3907795  0.654499    62  0.877991  0.0000 0.000788 0.000911 0.003385  0.051932  0.051687 -0.187481  35.2992766244  -89.6596188665    62.87799
TN45 08FEB06 2008.0986 54502 1465 3  -89.7   3672  0.958856   3907795  0.653810    62  0.879411  0.0000 0.000812 0.000914 0.003550  0.021843  0.068301 -0.207719  35.2992766182  -89.6596188673    62.87941
TN45 08FEB07 2008.1013 54503 1465 4  -89.7   3672  0.960497   3907795  0.656202    62  0.878916  0.0000 0.000759 0.000853 0.003117  0.042272  0.000390 -0.175475  35.2992766397  -89.6596188496    62.87892
TN45 08FEB08 2008.1040 54504 1465 5  -89.7   3672  0.960245   3907795  0.655828    62  0.876208  0.0000 0.000747 0.000831 0.003053  0.021760  0.029463 -0.189289  35.2992766363  -89.6596188528    62.87621
TN45 08FEB09 2008.1068 54505 1465 6  -89.7   3672  0.960203   3907795  0.656227    62  0.872300  0.0000 0.000742 0.000817 0.002994  0.015624  0.023207 -0.175159  35.2992766398  -89.6596188537    62.87230
TN45 08FEB10 2008.1095 54506 1466 0  -89.7   3672  0.958134   3907795  0.655690    62  0.870420  0.0000 0.000746 0.000826 0.003046  0.026922 -0.026351 -0.214728  35.2992766350  -89.6596188769    62.87042
TN45 08FEB11 2008.1123 54507 1466 1  -89.7   3672  0.959119   3907795  0.657341    62  0.868430  0.0000 0.000738 0.000838 0.003021 -0.000722 -0.008699 -0.148200  35.2992766498  -89.6596188664    62.86843
TN45 08FEB12 2008.1150 54508 1466 2  -89.7   3672  0.957522   3907795  0.656830    62  0.878612  0.0000 0.000782 0.000854 0.003329  0.011538  0.024920 -0.234388  35.2992766452  -89.6596188844    62.87861
TN45 08FEB13 2008.1177 54509 1466 3  -89.7   3672  0.959865   3907795  0.656262    62  0.871479  0.0000 0.000753 0.000848 0.003176  0.022512  0.027608 -0.185646  35.2992766400  -89.6596188591    62.87148
TN45 08FEB14 2008.1205 54510 1466 4  -89.7   3672  0.960177   3907795  0.655689    62  0.866262  0.0000 0.000735 0.000828 0.003018  0.024199  0.057946 -0.180134  35.2992766348  -89.6596188561    62.86626
TN45 08FEB15 2008.1232 54511 1466 5  -89.7   3672  0.958846   3907795  0.655856    62  0.867001  0.0000 0.000759 0.000860 0.003210  0.026228  0.031418 -0.122407  35.2992766363  -89.6596188711    62.86700
TN45 08FEB16 2008.1259 54512 1466 6  -89.7   3672  0.958242   3907795  0.656766    62  0.872574  0.0000 0.000763 0.000833 0.003098  0.003524  0.057450 -0.190067  35.2992766445  -89.6596188781    62.87257
TN45 08FEB17 2008.1287 54513 1467 0  -89.7   3672  0.959273   3907795  0.655722    62  0.880019  0.0000 0.000783 0.000877 0.003338  0.008488  0.051531 -0.200461  35.2992766350  -89.6596188672    62.88002
TN45 08FEB18 2008.1314 54514 1467 1  -89.7   3672  0.957532   3907795  0.657275    62  0.869507  0.0000 0.000743 0.000832 0.003009  0.023127  0.032999 -0.172615  35.2992766490  -89.6596188868    62.86951
TN45 08FEB19 2008.1342 54515 1467 2  -89.7   3672  0.957208   3907795  0.655098    62  0.868583  0.0000 0.000758 0.000835 0.003088 -0.014367  0.086619 -0.194714  35.2992766293  -89.6596188908    62.86858
TN45 08FEB20 2008.1369 54516 1467 3  -89.7   3672  0.959172   3907795  0.656098    62  0.870243  0.0000 0.000756 0.000838 0.003094  0.020965  0.022531 -0.162498  35.2992766383  -89.6596188696    62.87024
TN45 08FEB21 2008.1396 54517 1467 4  -89.7   3672  0.959595   3907795  0.656017    62  0.869003  0.0000 0.000749 0.000845 0.003118  0.033271 -0.009603 -0.172511  35.2992766375  -89.6596188653    62.86900
TN45 08FEB22 2008.1424 54518 1467 5  -89.7   3672  0.957999   3907795  0.655812    62  0.874190  0.0000 0.000785 0.000870 0.003294  0.026181  0.046384 -0.181903  35.2992766357  -89.6596188833    62.87419
TN45 08FEB23 2008.1451 54519 1467 6  -89.7   3672  0.958339   3907795  0.656817    62  0.868493  0.0000 0.000757 0.000873 0.003185  0.013773 -0.015479 -0.152391  35.2992766447  -89.6596188800    62.86849
TN45 08FEB24 2008.1478 54520 1468 0  -89.7   3672  0.959791   3907795  0.656107    62  0.871018  0.0000 0.000753 0.000845 0.003115  0.001537 -0.004200 -0.141271  35.2992766382  -89.6596188644    62.87102
TN45 08FEB25 2008.1506 54521 1468 1  -89.7   3672  0.958844   3907795  0.655980    62  0.867888  0.0000 0.000755 0.000854 0.003181  0.013083  0.014863 -0.140145  35.2992766371  -89.6596188752    62.86789
TN45 08FEB26 2008.1533 54522 1468 2  -89.7   3672  0.958201   3907795  0.654635    62  0.869586  0.0000 0.000754 0.000844 0.003114  0.029137 -0.000926 -0.161262  35.2992766249  -89.6596188827    62.86959
TN45 08FEB27 2008.1561 54523 1468 3  -89.7   3672  0.959494   3907795  0.656788    62  0.865852  0.0000 0.000753 0.000823 0.003116  0.012270 -0.057909 -0.151613  35.2992766443  -89.6596188689    62.86585
TN45 08FEB28 2008.1588 54524 1468 4  -89.7   3672  0.960075   3907795  0.655681    62  0.865396  0.0000 0.000731 0.000820 0.002981  0.018209 -0.015162 -0.138545  35.2992766343  -89.6596188630    62.86540
TN45 08FEB29 2008.1615 54525 1468 5  -89.7   3672  0.959191   3907795  0.657040    62  0.867385  0.0000 0.000755 0.000834 0.003136  0.018580 -0.016067 -0.181214  35.2992766465  -89.6596188731    62.86738
TN45 08MAR01 2008.1643 54526 1468 6  -89.7   3672  0.960964   3907795  0.655620    62  0.863508  0.0000 0.000747 0.000824 0.003086  0.029820 -0.030042 -0.155583  35.2992766337  -89.6596188540    62.86351
TN45 08MAR02 2008.1670 54527 1469 0  -89.7   3672  0.958934   3907795  0.653839    62  0.875301  0.0000 0.000743 0.000828 0.003052  0.002746 -0.008858 -0.143062  35.2992766176  -89.6596188768    62.87530
TN45 08MAR03 2008.1697 54528 1469 1  -89.7   3672  0.961197   3907795  0.653302    62  0.874752  0.0000 0.000766 0.000853 0.003198 -0.005398  0.031160 -0.113844  35.2992766127  -89.6596188523    62.87475
TN45 08MAR04 2008.1725 54529 1469 2  -89.7   3672  0.960062   3907795  0.656057    62  0.871886  0.0000 0.000752 0.000841 0.003140  0.001068 -0.001419 -0.198443  35.2992766375  -89.6596188652    62.87189
TN45 08MAR05 2008.1752 54530 1469 3  -89.7   3672  0.960375   3907795  0.656230    62  0.867400  0.0000 0.000759 0.000856 0.003171  0.041361 -0.047112 -0.176234  35.2992766390  -89.6596188621    62.86740
TN45 08MAR06 2008.1780 54531 1469 4  -89.7   3672  0.959716   3907795  0.656657    62  0.864561  0.0000 0.000730 0.000817 0.002999  0.018491  0.008571 -0.173413  35.2992766428  -89.6596188698    62.86456
TN45 08MAR07 2008.1807 54532 1469 5  -89.7   3672  0.958774   3907795  0.656945    62  0.869552  0.0000 0.000747 0.000824 0.003094  0.038960  0.050018 -0.189265  35.2992766454  -89.6596188806    62.86955
TN45 08MAR08 2008.1834 54533 1469 6  -89.7   3672  0.959642   3907795  0.654501    62  0.868958  0.0000 0.000737 0.000820 0.003032  0.034077 -0.031329 -0.198272  35.2992766233  -89.6596188714    62.86896
TN45 08MAR09 2008.1862 54534 1470 0  -89.7   3672  0.961281   3907795  0.655900    62  0.862668  0.0000 0.000739 0.000848 0.003065 -0.000976 -0.013195 -0.190136  35.2992766359  -89.6596188538    62.86267
TN45 08MAR10 2008.1889 54535 1470 1  -89.7   3672  0.958905   3907795  0.655303    62  0.857135  0.0000 0.000734 0.000818 0.002992  0.039547 -0.039144 -0.184280  35.2992766305  -89.6596188804    62.85713
TN45 08MAR11 2008.1916 54536 1470 2  -89.7   3672  0.958717   3907795  0.655886    62  0.864676  0.0000 0.000737 0.000852 0.003081  0.000742 -0.020539 -0.162428  35.2992766357  -89.6596188828    62.86468
TN45 08MAR12 2008.1944 54537 1470 3  -89.7   3672  0.959540   3907795  0.654759    62  0.866106  0.0000 0.000731 0.000821 0.002981 -0.005645  0.023823 -0.154139  35.2992766255  -89.6596188742    62.86611
TN45 08MAR13 2008.1971 54538 1470 4  -89.7   3672  0.960602   3907795  0.653665    62  0.870442  0.0000 0.000738 0.000823 0.002998  0.005936 -0.005704 -0.145599  35.2992766156  -89.6596188630    62.87044
TN45 08MAR14 2008.1999 54539 1470 5  -89.7   3672  0.961309   3907795  0.653823    62  0.872335  0.0000 0.000741 0.000830 0.003086 -0.009216  0.082703 -0.163906  35.2992766170  -89.6596188556    62.87233
TN45 08MAR15 2008.2026 54540 1470 6  -89.7   3672  0.962219   3907795  0.655619    62  0.878288  0.0000 0.000752 0.000841 0.003190  0.036716 -0.059860 -0.237470  35.2992766332  -89.6596188460    62.87829
TN45 08MAR16 2008.2053 54541 1471 0  -89.7   3672  0.960134   3907795  0.656629    62  0.867693  0.0000 0.000758 0.000842 0.003158 -0.006605  0.085042 -0.155264  35.2992766422  -89.6596188693    62.86769
TN45 08MAR17 2008.2081 54542 1471 1  -89.7   3672  0.962626   3907795  0.654683    62  0.865651  0.0000 0.000802 0.000859 0.003253 -0.019302  0.049741 -0.160148  35.2992766247  -89.6596188424    62.86565
TN45 08MAR18 2008.2108 54543 1471 2  -89.7   3672  0.962279   3907795  0.653059    62  0.869998  0.0000 0.000774 0.000844 0.003113 -0.026252  0.024569 -0.122752  35.2992766100  -89.6596188466    62.87000
TN45 08MAR19 2008.2136 54544 1471 3  -89.7   3672  0.960174   3907795  0.653713    62  0.874361  0.0000 0.000791 0.000885 0.003279  0.004556  0.027573 -0.142597  35.2992766159  -89.6596188702    62.87436
TN45 08MAR20 2008.2163 54545 1471 4  -89.7   3672  0.959336   3907795  0.655023    62  0.860042  0.0000 0.000765 0.000836 0.003071  0.002012  0.043039 -0.164779  35.2992766276  -89.6596188798    62.86004
TN45 08MAR21 2008.2190 54546 1471 5  -89.7   3672  0.958345   3907795  0.655738    62  0.861899  0.0000 0.000751 0.000817 0.002977  0.040980  0.023964 -0.138719  35.2992766340  -89.6596188911    62.86190
TN45 08MAR22 2008.2218 54547 1471 6  -89.7   3672  0.957515   3907795  0.656992    62  0.859573  0.0000 0.000749 0.000833 0.002988  0.046643 -0.047085 -0.115849  35.2992766453  -89.6596189006    62.85957
TN45 08MAR23 2008.2245 54548 1472 0  -89.7   3672  0.958357   3907795  0.658931    62  0.858458  0.0000 0.000750 0.000826 0.002972  0.026130 -0.001740 -0.116342  35.2992766627  -89.6596188918    62.85846
TN45 08MAR24 2008.2272 54549 1472 1  -89.7   3672  0.960804   3907795  0.656906    62  0.859527  0.0000 0.000769 0.000842 0.003055  0.009879  0.077993 -0.121266  35.2992766445  -89.6596188653    62.85953
TN45 08MAR25 2008.2300 54550 1472 2  -89.7   3672  0.959916   3907795  0.656360    62  0.859541  0.0000 0.000753 0.000848 0.003074  0.044711  0.049051 -0.154442  35.2992766395  -89.6596188755    62.85954
TN45 08MAR26 2008.2327 54551 1472 3  -89.7   3672  0.958301   3907795  0.656185    62  0.859502  0.0000 0.000758 0.000855 0.003176  0.028174  0.048205 -0.131364  35.2992766379  -89.6596188936    62.85950
TN45 08MAR27 2008.2355 54552 1472 4  -89.7   3672  0.959937   3907795  0.657069    62  0.864786  0.0000 0.000783 0.000868 0.003223  0.011724  0.081386 -0.145862  35.2992766458  -89.6596188761    62.86479
TN45 08MAR28 2008.2382 54553 1472 5  -89.7   3672  0.957668   3907795  0.657479    62  0.866474  0.0000 0.000759 0.000850 0.003112  0.037730  0.033449 -0.108622  35.2992766495  -89.6596189014    62.86647
TN45 08MAR29 2008.2409 54554 1472 6  -89.7   3672  0.959176   3907795  0.655789    62  0.868760  0.0000 0.000778 0.000847 0.003168  0.035494  0.061993 -0.167647  35.2992766342  -89.6596188852    62.86876
TN45 08MAR30 2008.2437 54555 1473 0  -89.7   3672  0.958801   3907795  0.656513    62  0.866850  0.0000 0.000772 0.000833 0.003156  0.032740  0.057843 -0.177301  35.2992766407  -89.6596188898    62.86685
TN45 08MAR31 2008.2464 54556 1473 1  -89.7   3672  0.959167   3907795  0.654339    62  0.861917  0.0000 0.000755 0.000825 0.003045  0.015624  0.035302 -0.145253  35.2992766211  -89.6596188862    62.86192
TN45 08APR01 2008.2491 54557 1473 2  -89.7   3672  0.957077   3907795  0.655374    62  0.868987  0.0000 0.000784 0.000875 0.003289  0.020395 -0.021101 -0.131020  35.2992766304  -89.6596189096    62.86899
TN45 08APR02 2008.2519 54558 1473 3  -89.7   3672  0.957750   3907795  0.656867    62  0.857838  0.0000 0.000769 0.000849 0.003113  0.059041  0.039399 -0.167586  35.2992766438  -89.6596189026    62.85784
TN45 08APR03 2008.2546 54559 1473 4  -89.7   3672  0.957148   3907795  0.657284    62  0.867979  0.0000 0.000773 0.000851 0.003150  0.030524  0.032006 -0.179123  35.2992766475  -89.6596189096    62.86798
TN45 08APR04 2008.2574 54560 1473 5  -89.7   3672  0.957052   3907795  0.655415    62  0.872031  0.0000 0.000796 0.000876 0.003349  0.063893 -0.030932 -0.174015  35.2992766307  -89.6596189111    62.87203
TN45 08APR05 2008.2601 54561 1473 6  -89.7   3672  0.956653   3907795  0.656393    62  0.860756  0.0000 0.000742 0.000816 0.002975  0.009972  0.042078 -0.159268  35.2992766394  -89.6596189159    62.86076
TN45 08APR06 2008.2628 54562 1474 0  -89.7   3672  0.957901   3907795  0.657093    62  0.862457  0.0000 0.000734 0.000818 0.002960  0.023102  0.050798 -0.151166  35.2992766457  -89.6596189026    62.86246
TN45 08APR07 2008.2656 54563 1474 1  -89.7   3672  0.958514   3907795  0.657181    62  0.862255  0.0000 0.000755 0.000825 0.003029  0.028270  0.046772 -0.188454  35.2992766465  -89.6596188963    62.86226
TN45 08APR08 2008.2683 54564 1474 2  -89.7   3672  0.957672   3907795  0.657621    62  0.863834  0.0000 0.000755 0.000848 0.003097  0.043744  0.008905 -0.137165  35.2992766504  -89.6596189059    62.86383
TN45 08APR09 2008.2710 54565 1474 3  -89.7   3672  0.957871   3907795  0.657996    62  0.866353  0.0000 0.000769 0.000850 0.003089  0.032008  0.034758 -0.138492  35.2992766537  -89.6596189041    62.86635
TN45 08APR10 2008.2738 54566 1474 4  -89.7   3672  0.959676   3907795  0.655889    62  0.862867  0.0000 0.000736 0.000826 0.002993  0.022948  0.028423 -0.165738  35.2992766347  -89.6596188847    62.86287
TN45 08APR11 2008.2765 54567 1474 5  -89.7   3672  0.955578   3907795  0.658014    62  0.880428  0.0000 0.000797 0.000907 0.003353  0.039055 -0.045816 -0.112795  35.2992766538  -89.6596189302    62.88043
TN45 08APR12 2008.2793 54568 1474 6  -89.7   3672  0.956375   3907795  0.657741    62  0.864392  0.0000 0.000775 0.000853 0.003105 -0.002729  0.050009 -0.156532  35.2992766513  -89.6596189218    62.86439
TN45 08APR13 2008.2820 54569 1475 0  -89.7   3672  0.957072   3907795  0.658536    62  0.859330  0.0000 0.000746 0.000830 0.003023  0.052016  0.033843 -0.148986  35.2992766585  -89.6596189146    62.85933
TN45 08APR14 2008.2847 54570 1475 1  -89.7   3672  0.957235   3907795  0.658205    62  0.855212  0.0000 0.000731 0.000814 0.002958  0.052335  0.034985 -0.188466  35.2992766555  -89.6596189132    62.85521
TN45 08APR15 2008.2875 54571 1475 2  -89.7   3672  0.956604   3907795  0.656406    62  0.860730  0.0000 0.000764 0.000846 0.003089  0.058547  0.026883 -0.172919  35.2992766392  -89.6596189206    62.86073
TN45 08APR16 2008.2902 54572 1475 3  -89.7   3672  0.958253   3907795  0.656939    62  0.862390  0.0000 0.000761 0.000847 0.003033  0.036815  0.028996 -0.149155  35.2992766440  -89.6596189028    62.86239
TN45 08APR17 2008.2930 54573 1475 4  -89.7   3672  0.958846   3907795  0.656139    62  0.862562  0.0000 0.000736 0.000835 0.002999  0.016101  0.014507 -0.110778  35.2992766367  -89.6596188967    62.86256
TN45 08APR18 2008.2957 54574 1475 5  -89.7   3672  0.958917   3907795  0.657233    62  0.860897  0.0000 0.000762 0.000852 0.003109  0.045916  0.006006 -0.158507  35.2992766466  -89.6596188964    62.86090
TN45 08APR19 2008.2984 54575 1475 6  -89.7   3672  0.958363   3907795  0.659208    62  0.858500  0.0000 0.000742 0.000828 0.002996  0.033836  0.059867 -0.187430  35.2992766643  -89.6596189029    62.85850
TN45 08APR20 2008.3012 54576 1476 0  -89.7   3672  0.956811   3907795  0.657537    62  0.866919  0.0000 0.000751 0.000827 0.003072  0.022144  0.064181 -0.204964  35.2992766492  -89.6596189204    62.86692
TN45 08APR21 2008.3039 54577 1476 1  -89.7   3672  0.958087   3907795  0.658089    62  0.866085  0.0000 0.000750 0.000814 0.003023  0.032170  0.036381 -0.168768  35.2992766542  -89.6596189067    62.86608
TN45 08APR22 2008.3066 54578 1476 2  -89.7   3672  0.959023   3907795  0.657559    62  0.869211  0.0000 0.000754 0.000828 0.003081  0.037671  0.095663 -0.166687  35.2992766494  -89.6596188969    62.86921
TN45 08APR23 2008.3094 54579 1476 3  -89.7   3672  0.959330   3907795  0.657790    62  0.866763  0.0000 0.000772 0.000846 0.003178 -0.001495  0.096943 -0.187438  35.2992766514  -89.6596188939    62.86676
TN45 08APR24 2008.3121 54580 1476 4  -89.7   3672  0.959002   3907795  0.656485    62  0.868363  0.0000 0.000776 0.000865 0.003200  0.006336  0.045748 -0.186198  35.2992766396  -89.6596188979    62.86836
TN45 08APR25 2008.3149 54581 1476 5  -89.7   3672  0.958657   3907795  0.658048    62  0.866658  0.0000 0.000755 0.000850 0.003073  0.000148  0.051034 -0.143211  35.2992766537  -89.6596189021    62.86666
TN45 08APR26 2008.3176 54582 1476 6  -89.7   3672  0.957359   3907795  0.658272    62  0.871002  0.0000 0.000822 0.000886 0.003355  0.106336  0.022071 -0.158320  35.2992766556  -89.6596189168    62.87100
TN45 08APR27 2008.3203 54583 1477 0  -89.7   3672  0.957732   3907795  0.658271    62  0.861083  0.0000 0.000799 0.000852 0.003212  0.075583  0.075157 -0.146686  35.2992766556  -89.6596189131    62.86108
TN45 08APR28 2008.3231 54584 1477 1  -89.7   3672  0.956944   3907795  0.659092    62  0.863758  0.0000 0.000782 0.000846 0.003128  0.062265  0.059347 -0.148803  35.2992766630  -89.6596189222    62.86376
TN45 08APR29 2008.3258 54585 1477 2  -89.7   3672  0.959334   3907795  0.658306    62  0.864646  0.0000 0.000758 0.000861 0.003081  0.048572  0.025638 -0.131849  35.2992766559  -89.6596188963    62.86465
